,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,0.9224045276641846,0.984
1,40,4,0.4,4,0.8,0.6,1.5,0.20182085037231445,1.0
2,70,4,0.4,4,0.8,0.6,1.5,2.295975685119629,0.996
3,100,4,0.4,4,0.8,0.6,1.5,2.7468018531799316,0.992
4,130,4,0.4,4,0.8,0.6,1.5,3.3858869075775146,0.996
5,160,4,0.4,4,0.8,0.6,1.5,4.997957468032837,0.988
6,190,4,0.4,4,0.8,0.6,1.5,5.906446695327759,0.992
7,220,4,0.4,4,0.8,0.6,1.5,0.3789355754852295,0.996
8,250,4,0.4,4,0.8,0.6,1.5,8.36361575126648,0.984
9,280,4,0.4,4,0.8,0.6,1.5,7.2397520542144775,0.972
10,310,4,0.4,4,0.8,0.6,1.5,3.2474582195281982,1.0
11,340,4,0.4,4,0.8,0.6,1.5,2.374922752380371,0.976
12,370,4,0.4,4,0.8,0.6,1.5,2.0876412391662598,1.0
13,400,4,0.4,4,0.8,0.6,1.5,1.8411996364593506,0.996
14,430,4,0.4,4,0.8,0.6,1.5,2.173614025115967,1.0
15,460,4,0.4,4,0.8,0.6,1.5,1.9122233390808105,0.968
16,490,4,0.4,4,0.8,0.6,1.5,0.2994511127471924,0.996
