,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,1.7903523445129395,0.98
1,40,4,0.4,4,0.8,0.6,1.5,1.7649006843566895,1.0
2,70,4,0.4,4,0.8,0.6,1.5,2.658128023147583,0.996
3,100,4,0.4,4,0.8,0.6,1.5,4.5950024127960205,0.996
4,130,4,0.4,4,0.8,0.6,1.5,5.2346882820129395,0.992
5,160,4,0.4,4,0.8,0.6,1.5,6.449245452880859,0.976
6,190,4,0.4,4,0.8,0.6,1.5,6.300153493881226,0.992
7,220,4,0.4,4,0.8,0.6,1.5,2.124758243560791,0.984
8,250,4,0.4,4,0.8,0.6,1.5,9.700066328048706,0.992
9,280,4,0.4,4,0.8,0.6,1.5,9.475308179855347,0.996
10,310,4,0.4,4,0.8,0.6,1.5,6.1905248165130615,0.988
11,340,4,0.4,4,0.8,0.6,1.5,4.82485556602478,0.988
12,370,4,0.4,4,0.8,0.6,1.5,4.259075880050659,0.996
13,400,4,0.4,4,0.8,0.6,1.5,3.7884490489959717,0.964
14,430,4,0.4,4,0.8,0.6,1.5,4.093850135803223,0.976
15,460,4,0.4,4,0.8,0.6,1.5,3.7526938915252686,0.968
16,490,4,0.4,4,0.8,0.6,1.5,0.46712827682495117,0.984
