product_sku_hash_te,hashed_url_te,category_hash_te,product_id,add_count_during_session,has_been_detailed,price_bucket,session_length,session_interaction_count,session_detail_count,session_pageview_count,session_query_count,nb_click_before,nb_click_after,nb_add_before,nb_add_after,image_data,description_data
0.38877876724235316,0.4147172227583066,0.6515030622325512,14214,1,1,8.0,1107373,13,2.0,9,1,5,7,0,0,0.6575507741805752,0.42943949711891044
0.44175156694045636,0.4146741496719307,0.5860996916669915,9866,1,1,6.0,108676,8,3.0,4,0,5,2,0,0,0.37693545143776397,0.4303823991618648
0.5467274970521584,0.41470777540820425,0.6514972752856087,18203,1,1,8.0,1533480,17,4.0,11,0,2,14,0,0,0.49849185602252166,0.5755893137768465
0.40305408413374644,0.41474104088317476,0.7270209872864557,12899,1,1,6.0,349443,16,4.0,11,0,14,1,0,0,0.5823446611703198,0.4426401257202724
0.5182005139135332,0.4146578779605933,0.41713019145735764,7923,1,1,7.0,190270,12,5.0,6,0,10,1,0,0,0.6312085260406194,0.5495023572551074
0.4581712697194861,0.4146870430950033,0.8055543809894672,5867,1,1,5.0,325668,8,3.0,4,0,4,3,0,0,0.7060124673235472,0.4927187008905186
0.40976615339592654,0.41465872791160335,0.2796718254739661,18935,1,1,1.0,348417,15,1.0,13,1,6,8,0,0,0.6378443595415243,0.3740178103719225
0.6049156852940498,0.41468380795228366,0.8341869079874876,9959,7,1,8.0,1527253,149,23.0,65,0,36,112,0,6,0.512065151819827,0.6294394971189105
0.38027486150754763,0.414671235930843,0.8341792070321669,9484,7,1,7.0,1527253,149,23.0,65,0,38,110,1,5,0.298511964608888,0.4215819800942902
0.5381874720050686,0.4147349693404593,0.5861369465787947,10635,7,1,8.0,1527253,149,23.0,65,0,52,96,2,4,0.644580735974261,0.5685699319015192
0.5636913909344198,0.4146522502725303,0.5860862772533167,56,7,1,7.0,1527253,149,23.0,65,0,64,84,3,3,0.4470138749245928,0.591304347826087
0.563692778348905,0.41465606201912264,0.5860886121276518,56,7,1,7.0,1527253,149,23.0,65,0,84,64,4,2,0.4470138749245928,0.591304347826087
0.5637044462893622,0.41468811821628104,0.5861082480583758,56,7,1,7.0,1527253,149,23.0,65,0,103,45,5,1,0.4470138749245928,0.591304347826087
0.5494400669898372,0.41469435032074975,0.8341933656847573,6071,7,1,9.0,1527253,149,23.0,65,0,124,24,6,0,0.5875728936255782,0.578103719224725
0.7504325639994007,0.414732624415735,0.9999941497727318,18088,4,1,10.0,1391877,50,10.0,33,0,3,46,0,3,0.5115624371606676,0.7640649554740702
0.7021712805683407,0.4146631181644458,0.9999515739198178,433,4,1,10.0,1391877,50,10.0,33,0,8,41,1,2,0.3538105771164287,0.7194342587742273
0.7243821548816083,0.4147103264404859,0.9834646522768269,2976,4,1,9.0,1391877,50,10.0,33,0,17,32,2,1,0.613814598833702,0.7399685699319015
0.5824382094201045,0.4147260394759094,0.8055782681096448,1395,4,1,5.0,1391877,50,10.0,33,0,35,14,3,0,0.49859239895435353,0.6090099528548979
0.48208476208095685,0.414735491242642,0.6515142525397193,4435,1,1,7.0,460215,25,5.0,19,0,20,4,0,0,0.4798914136336216,0.5157674174960712
0.46681881964664307,0.4147344342273233,0.6177711443703715,20868,1,1,9.0,997194,62,22.0,38,1,12,49,0,0,0.624069977880555,0.50130958617077
0.6706677943850146,0.4147308041466343,0.9999930347721663,4884,1,1,8.0,129492,11,3.0,7,0,2,8,0,0,0.47375829479187614,0.6903090623363017
0.5625858856953998,0.4147257953986819,0.7270116487090856,8037,1,1,5.0,195467,9,4.0,4,0,8,0,0,0,0.7045043233460688,0.590256678889471
0.5714141125717034,0.4147162242716825,0.6177599899147858,2675,1,1,9.0,334448,20,4.0,15,0,6,13,0,0,0.7343655741001408,0.5984284965950759
0.6558761303513843,0.41470078983996506,0.8341973101936017,10322,2,1,10.0,1992855,64,19.0,42,1,36,27,0,1,0.3104765734968832,0.6765845992666317
0.500294236490708,0.41471355050269243,0.6469016585590752,19633,2,1,9.0,1992855,64,19.0,42,1,59,4,1,0,0.3723104765734969,0.5326348873755893
0.26636098150871945,0.4146649902872331,0.34439636366782095,15205,1,1,10.0,247374,7,2.0,3,0,2,4,0,0,0.6308063543132918,0.31618648507071767
0.5342838791792425,0.4147390730240861,0.617773985851893,13745,1,1,5.0,180918,15,2.0,12,0,6,8,0,0,0.5958174140357932,0.5640649554740702
0.69754040162941,0.41469622294416275,0.999971852156751,8860,1,1,10.0,94083,6,2.0,3,0,2,3,0,0,0.5964206716267847,0.7486642221058146
0.27121514318008577,0.4146912429265569,0.3590400710382445,14486,2,1,10.0,1083082,67,9.0,51,3,23,43,0,1,0.743514980896843,0.30906233630172864
0.24846597048106306,0.41472880716782357,0.3262031519342203,11419,2,1,9.0,1083082,67,9.0,51,3,57,9,1,0,0.47778001206515186,0.29387113672079623
0.4417431255653543,0.4146722449862297,0.34440080751267926,5250,1,0,8.0,382755,9,,7,1,5,3,0,0,0.4780816408606475,0.4755369303300157
0.3831174341963446,0.41471731891735836,0.573955939379789,4748,1,1,10.0,181815,6,1.0,2,0,2,3,0,0,0.6373416448823648,0.4242011524358303
0.7729676002809978,0.41474029671435286,0.5962345696272925,1145,1,1,8.0,311281,13,3.0,9,0,2,10,0,0,0.24230846571486025,0.7849135673127292
0.620187159437629,0.4146633346516405,0.7269733885593925,13603,1,1,8.0,993023,12,1.0,9,0,7,4,0,0,0.37029961793685906,0.6436877946568884
0.580074558643213,0.4147323965365267,0.7270156922169533,12148,1,1,6.0,1187362,13,2.0,10,1,7,5,0,0,0.6476975668610497,0.6068098480880042
0.6363828387368159,0.41465082737221426,0.7269657272616051,834,1,1,8.0,469235,23,4.0,17,0,16,6,0,0,0.5859642067162678,0.6585646935568361
0.6363902917905553,0.414671303698861,0.7269782699761864,834,1,1,8.0,1632091,29,1.0,26,0,9,19,0,0,0.5859642067162678,0.6585646935568361
0.5412947057087774,0.414716789706042,0.5861258106963867,3002,3,1,6.0,2059424,43,5.0,30,1,6,36,0,2,0.23889000603257593,0.5705605028810896
0.3340653568089533,0.41473653774482316,0.39120514546881036,11533,3,1,1.0,2059424,43,5.0,30,1,10,32,1,1,0.7583953348079631,0.24054478784704034
0.33405657500128955,0.41471241083408805,0.3911903665995191,11533,3,1,1.0,2059424,43,5.0,30,1,35,7,2,0,0.7583953348079631,0.24054478784704034
0.541299322902105,0.4147294748633046,0.5861335809527275,3002,1,1,6.0,1908131,24,1.0,22,0,2,21,0,0,0.23889000603257593,0.5705605028810896
0.5412888905021129,0.4147008131579928,0.5861160243081526,3002,1,1,6.0,4745127,46,18.0,27,0,29,16,0,0,0.23889000603257593,0.5705605028810896
0.5412849646233499,0.4146939297006874,0.5861118078663169,18646,1,1,6.0,671053,15,3.0,11,0,7,7,0,0,0.15624371606676052,0.5705605028810896
0.636625245351881,0.41469493727644735,0.5861124250539304,8181,1,1,6.0,2286056,38,12.0,25,1,26,11,0,0,0.23024331389503322,0.6587742273441592
0.32253751630950367,0.4146915209239498,0.35247313988429607,2297,1,1,1.0,244319,13,4.0,8,0,2,10,0,0,0.32525638447617133,0.3680460974332111
0.32252621657223274,0.4146604763186812,0.3524541236012543,2297,1,1,1.0,677579,52,8.0,43,3,25,26,0,0,0.32525638447617133,0.3680460974332111
0.28174545210316526,0.4146604095018518,0.3806335312969939,4141,2,1,1.0,3757861,96,10.0,83,6,2,93,0,1,0.308767343655741,0.3301204819277108
0.6493914142477885,0.4147210463864131,0.405859947372379,13362,2,1,1.0,3757861,96,10.0,83,6,26,69,1,0,0.3003217373818621,0.6707176532215819
0.44550926662086493,0.414706735569906,0.7269999736661725,4005,1,1,5.0,1993188,112,14.0,97,2,45,66,0,0,0.7214960788256586,0.4758512310110005
0.5736573724087148,0.41468557626201014,0.7269870125934053,19257,1,1,7.0,616197,28,8.0,19,0,13,14,0,0,0.5399155439372613,0.600523834468308
0.5026717240395983,0.4146793961002281,0.6514798916227038,10496,1,1,9.0,1399505,31,8.0,20,0,27,3,0,0,0.5414236879147396,0.534834992142483
0.5026921558107366,0.4147355298186253,0.6515142761693261,2368,1,1,9.0,451762,25,6.0,18,0,16,8,0,0,0.592398954353509,0.534834992142483
0.5093607694098539,0.41470310889347106,0.6514944168255246,18747,5,1,6.0,1477238,74,24.0,42,0,13,60,0,4,0.4829077015885783,0.5410162388685176
0.4069588328777899,0.41466656306928973,0.46974018268222595,93,5,1,7.0,1477238,74,24.0,42,0,21,52,1,3,0.76674039815001,0.44599266631744366
0.35322678702078514,0.4147210722298188,0.4697735721106314,1457,5,1,7.0,1477238,74,24.0,42,0,47,26,2,2,0.6702191835913935,0.39654269250916707
0.5026881376735103,0.41472460889377183,0.4697757384838925,7853,5,1,7.0,1477238,74,24.0,42,0,50,23,3,1,0.5845566056706214,0.534834992142483
0.5193355346169056,0.4147326636202816,0.6515125204878321,3011,5,1,6.0,1477238,74,24.0,42,0,68,5,4,0,0.5595214156444802,0.5502357255107386
0.5578199062145621,0.41469713700306154,0.7269940940918526,13785,1,1,5.0,55419,5,2.0,2,0,4,0,0,0,0.5983309873315906,0.5858564693556836
0.54317468487099,0.4146835424204681,0.8055522366614196,4934,3,1,3.0,129415,12,3.0,6,1,2,9,0,2,0.5115624371606676,0.5724463069669984
0.6319807062677607,0.4146885614757453,0.8055553110691929,4212,3,1,5.0,129415,12,3.0,6,1,5,6,1,1,0.6018499899457068,0.6544787847040335
0.415978774811365,0.41473055189808455,0.8055810321807786,6739,3,1,6.0,129415,12,3.0,6,1,10,1,2,0,0.3978483812587975,0.4533263488737559
0.31913318102474164,0.41468766308086513,0.48005974343637337,18093,3,1,5.0,440629,18,5.0,10,1,2,15,0,2,0.2998190227227026,0.36500785751702464
0.4044987288673509,0.41466600746387944,0.8055414956745484,17930,3,1,5.0,440629,18,5.0,10,1,7,10,1,1,0.5536899255982305,0.4440020953378732
